Location,Facility Type,Ped_Total,Ped_Female,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday,Bike_Weekday_Female,Bike_Weekday_Sidewalk,Bike_Weekday_Contraflow,Bike_Weekday_Bikeshare,Bike_Weekday_Helmet,Bike_Weekend,Bike_Weekend_Female,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bikeshare,Bike_Weekend_Helmet,Other_Total,Other_Total 1,Other_Female,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Sidewalk,Other_Weekday_WrongWay,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet
Fletcher bw San Fernando and Ave 32,Lane,582,242,7,6,478,193,1,5,104,49,6,1,104,12,18,,0,31,83,10,18,,0,31,21,2,6,1,2,16,10,10,2,10,0,0,9,2,9,0,0,1,0,1,0,0,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0
Fountain bw New Hampshire and Vermont,Sharrow,596,245,5,10,426,169,0,8,170,76,5,2,127,23,19,,1,55,99,18,19,,1,55,28,5,3,1,0,18,4,4,2,4,0,0,2,0,2,0,0,2,2,2,0,0,25,8,4,2,5,16,4,2,0,3,9,4,2,2,2
Glenoaks bw Van Nuys and Mercer,Lane,489,199,10,14,285,123,10,13,204,76,0,1,54,4,24,,0,4,34,2,24,,0,4,20,2,9,0,0,2,6,6,1,4,0,0,4,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin bw Baldwin and Altura,Lane,423,180,4,12,370,150,4,12,53,30,0,0,68,9,12,,0,40,60,7,12,,0,40,8,2,2,1,0,4,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffith Park bw Fernwood and Silverado,Lane,278,92,0,1,234,74,0,1,44,18,0,0,120,10,0,,0,68,100,9,0,,0,68,20,1,0,0,0,13,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,1,0,1,1,0,0,0,1
Hollywood bw Argyle and El Centro,None,5411,1235,18,35,3343,1235,14,23,2068,,4,12,107,16,56,,0,11,92,7,56,,0,11,15,9,6,3,0,2,43,43,1,37,0,1,37,0,36,0,0,6,1,1,0,1,123,19,61,0,13,94,15,50,,5,29,4,11,0,8
Hoover bw 29th and 30th,Lane,3317,1615,5,14,2340,1130,4,11,977,485,1,3,991,368,205,,6,51,895,339,205,,6,51,96,29,14,19,0,8,440,440,56,211,62,0,378,50,189,41,0,62,6,22,21,0,286,67,81,26,46,205,32,42,,46,81,35,39,26,0
Hoover bw Manchester and 85th,Route,757,170,6,35,698,146,6,34,59,24,0,1,75,8,51,,0,15,68,6,51,,0,15,7,2,6,2,0,0,8,8,0,6,0,0,5,0,4,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Imperial bw Denver and Figueroa,None,359,87,7,5,167,30,1,3,192,57,6,2,29,1,13,0,0,0,18,1,13,0,0,0,11,0,6,5,0,0,6,6,0,2,0,0,1,0,1,0,0,5,0,1,0,0,4,0,1,0,0,1,0,1,0,0,3,0,0,0,0
Jefferson bw Vermont and Catalina,None,667,281,7,9,579,246,5,9,88,35,2,0,355,83,196,,3,44,299,69,196,,3,44,56,14,35,0,0,3,51,51,4,50,0,0,42,3,42,0,0,9,1,8,0,0,43,5,29,0,4,38,4,27,,4,5,1,2,0,0
